sentence,top_match_0,top_match_1,top_match_2,top_match_3,top_match_4,similarity_0,similarity_1,similarity_2,similarity_3,similarity_4
"17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed ",Sharing mode,ICT-enabled innovation leading to new businesses and market opportunities,Encourage new investments,Effect on area revitalization/development,International embeddedness/International integration,"1,0312","1,0277","0,6960","0,6500","0,6410"
"17.8 Fully operationalize the technology bank and science, technology and innovation capacity building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology ",Education: Research and Technology,Availability of innovative facilities or equipment,Strong leadership promoting innovation and smart solutions,ICT-enabled innovation leading to new businesses and market opportunities,Innovative Economic Activities,"1,2926","1,0614","1,0539","0,5715","0,5679"
"17.9 Enhance international support for implementing effective and targeted capacity building in developing countries to support national plans to implement all the Sustainable Development Goals, including through North South, South South and triangular cooperation ",Shared architecture for multi-level governance and inter-agency collaboration,"Strategies and infrastructure for timely data communication, sharing, and reporting",Participatory master plan,Strong leadership promoting innovation and smart solutions,Encourage new investments,"0,6837","0,6316","0,6197","0,5711","0,5700"
"17.10 Promote a universal, rules based, open, non discriminatory and equitable multilateral trading system under the World Trade Organization, including through the conclusion of negotiations under its Doha Development Agenda ",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,"Number of hospital beds per 10,000 people",Participation in SUM projects & initiatives,Consultation and Engagement,"0,8950","0,5761","0,5383","0,5343","0,5239"
"17.11 Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries’ share of global exports by 2020 ",Regional products sales (% PDO label),ICT-enabled innovation leading to new businesses and market opportunities,Number of businesses and new businesses registered annually,Tertiary industry value to GDP ratio,Per capita volume of industrial SO 2 emissions,"0,5164","0,5101","0,5007","0,4981","0,4599"
"17.12 Realize timely implementation of duty free and quota free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access ",Intelligent and transparent procurement and bidding systems,Patent Applications / Registration for Inhabitant,Integrated fare/payment system for inter-service fare digital fare collection capability,Modal share by trip purposea,Selective collect,"1,4610","0,9608","0,9105","0,8459","0,8235"
 Policy and institutional coherence ,Structures: governance of cultural ecosystem services indicator,Institutional Capacity,Planning policies and legislations,Integrated planning between all departments,Shared architecture for multi-level governance and inter-agency collaboration,"0,6467","0,6426","0,6283","0,6182","0,5624"
"17.13 Enhance global macroeconomic stability, including through policy coordination and policy coherence ",Integrated planning between all departments,Shared architecture for multi-level governance and inter-agency collaboration,Planning policies and legislations,Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting","0,7671","0,7401","0,6785","0,6301","0,6154"
17.14 Enhance policy coherence for sustainable development ,Clear strategy,Planning policies and legislations,"Strategies and infrastructure for timely data communication, sharing, and reporting",Plans and strategies for mainstreaming smart city planning,Shared architecture for multi-level governance and inter-agency collaboration,"0,6173","0,6034","0,5985","0,5555","0,5474"
17.15 Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development ,Planning policies and legislations,Efficiency of the measures referred to landscape planning,Plans and strategies for mainstreaming smart city planning,"Strategies and infrastructure for timely data communication, sharing, and reporting",Integrated planning between all departments,"0,4697","0,4132","0,4028","0,3763","0,3657"
"17.16 Enhance the Global Partnership for Sustainable Development, complemented by multi stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the Sustainable Development Goals in all countries, in particular developing countries ",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Effectiveness of planning in relation to the landscape,Young population,"1,9592","1,9113","1,3040","1,0233","0,7261"
"17.17 Encourage and promote effective public, public private and civil society partnerships, building on the experience and resourcing strategies of partnerships ",Investment policies,Encourage new investments,Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Planning policies and legislations,"0,6469","0,5895","0,5684","0,5441","0,5424"
" Data, monitoring and accountability ",Process transparency,Management and action plan,Reliability,Events successfully implemented and evaluated,Clear strategy,"0,6430","0,5883","0,5876","0,5874","0,5134"
"17.18 By 2020, enhance capacity building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts ",Sense of place landscapes,Opportunity for higher education,Income level heterogeneity,Effect on area revitalization/development,"Beautiful, attractive place","0,7607","0,7072","0,6874","0,6820","0,6681"
"17.19 By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity building in developing countries ",Opportunity for higher education,Effect on area revitalization/development,Adaptation for social inclusion,Events successfully implemented and evaluated,Young offenders under 20 years of age,"0,6619","0,6431","0,5417","0,5361","0,5067"
 Means of implementation and the Global Partnership ,Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,Participation and Partnership,Integrated planning between all departments,Management and action plan,"0,8412","0,7308","0,7161","0,6777","0,5991"
"60. We reaffirm our strong commitment to the full implementation of this new Agenda. We recognize that we will not be able to achieve our ambitious Goals and targets without a revitalized and enhanced Global Partnership and comparably ambitious means of implementation. The revitalized Global Partnership will facilitate an intensive global engagement in support of implementation of all the Goals and targets, bringing together Governments, civil society, the private sector, the United Nations system and other actors and mobilizing all available resources. ",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,Events successfully implemented and evaluated,"Strategies and infrastructure for timely data communication, sharing, and reporting",Management and action plan,"2,6036","2,3494","2,1060","2,0033","1,7511"
"61. The Agenda’s Goals and targets deal with the means required to realize our collective ambitions. The means of implementation targets under each Sustainable Development Goal and Goal 17, which are referred to above, are key to realizing our Agenda and are of equal importance with the other Goals and targets. We shall accord them equal priority in our implementation efforts and in the global indicator framework for monitoring our progress. ",Integrated planning between all departments,Events successfully implemented and evaluated,"Strategies and infrastructure for timely data communication, sharing, and reporting",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,"2,0989","1,8606","1,7877","1,6999","1,1785"
"62. This Agenda, including the Sustainable Development Goals, can be met within the framework of a revitalized Global Partnership for Sustainable Development, supported by the concrete policies and actions outlined in the Addis Ababa Action Agenda,3 which is an integral part of the 2030 Agenda for Sustainable Development. The Addis Ababa Action Agenda supports, complements and helps to contextualize the 2030 Agenda’s means of implementation targets. It relates to domestic public resources, domestic and international private business and finance, international development cooperation, international trade as an engine for development, debt and debt sustainability, addressing systemic issues and science, technology, innovation and capacity building, and data, monitoring and follow up. ",Events successfully implemented and evaluated,Management and action plan,Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting","3,4567","3,3090","3,0532","3,0405","2,3262"
"63. Cohesive nationally owned sustainable development strategies, supported by integrated national financing frameworks, will be at the heart of our efforts. We reiterate that each country has primary responsibility for its own economic and social development and that the role of national policies and development strategies cannot be overemphasized. We will respect each country’s policy space and leadership to implement policies for poverty eradication and sustainable development, while remaining consistent with relevant international rules and commitments. At the same time, national development efforts need to be supported by an enabling international economic environment, including coherent and mutually supporting world trade, monetary and financial systems, and strengthened and enhanced global economic governance. Processes to develop and facilitate the availability of appropriate knowledge and technologies globally, as well as capacity building, are also critical. ",Shared architecture for multi-level governance and inter-agency collaboration,For Joint Budget Size,Integrated fare/payment system for inter-service fare digital fare collection capability,Wealth Index,Events successfully implemented and evaluated,"2,0765","1,8824","1,8024","1,6849","1,6388"
"We commit to pursuing policy coherence and an enabling environment for sustainable development at all levels and by all actors, and to reinvigorating the Global Partnership for Sustainable Development. ",Events successfully implemented and evaluated,"Strategies and infrastructure for timely data communication, sharing, and reporting",Shared architecture for multi-level governance and inter-agency collaboration,Effect on area revitalization/development,Participatory master plan,"1,1708","1,1352","1,1318","0,6722","0,6702"
"64. We support the implementation of relevant strategies and programmes of action, including the Istanbul Declaration and Programme of Action, the SIDS Accelerated Modalities of Action (SAMOA) Pathway and the Vienna Programme of Action for Landlocked Developing Countries for the Decade 2014 2024, and reaffirm the importance of supporting the African Union’s Agenda 2063 and the programme of the New Partnership for Africa’s Development, all of which are integral to the new Agenda. We recognize the major challenge to the achievement of durable peace and sustainable development in countries in conflict and post conflict situations. ",Management and action plan,Events successfully implemented and evaluated,Participatory master plan,Implementation of activities in the area,Shared architecture for multi-level governance and inter-agency collaboration,"2,6285","2,5911","2,4782","2,2058","1,2473"
"65. We recognize that middle income countries still face significant challenges to achieve sustainable development. In order to ensure that achievements made to date are sustained, efforts to address ongoing challenges should be strengthened through the exchange of experiences, improved coordination, and better and focused support of the United Nations development system, the international financial institutions, regional organizations and other stakeholders. ","Strategies and infrastructure for timely data communication, sharing, and reporting",Events successfully implemented and evaluated,Using smart solutions to enhance accessibility to services and amenities,Strong leadership promoting innovation and smart solutions,Shared architecture for multi-level governance and inter-agency collaboration,"1,7656","1,3790","1,2060","1,2003","1,0724"
"66. We underscore that, for all countries, public policies and the mobilization and effective use of domestic resources, underscored by the principle of national ownership, are central to our common pursuit of sustainable development, including achieving the Sustainable ",Spatial coherence,Adequacy,infrastructure sustainability indicator,Events successfully implemented and evaluated,Sustainable site,"1,4911","1,4726","1,2457","1,1967","1,1939"
 3 The Addis Ababa Action Agenda of the Third International Conference on Financing for Development ,Affordability,Research and development expenditure,Regional products sales (% PDO label),Expenditure for purchase of vehicles,Economic Pressure,"0,5233","0,4930","0,4684","0,4670","0,4490"
"(Addis Ababa Action Agenda), adopted by the General Assembly on 27 July 2015 (resolution 69 313). ",Arable field indicator,Large solitary oaks in grazing or arable land,Commodifcation,Total hedgerow length,Amenities,"0,6907","0,4546","0,4385","0,4240","0,4231"
"Development Goals. We recognize that domestic resources are first and foremost generated by economic growth, supported by an enabling environment at all levels. ",Residential Energy Use,Housing-related expenditure,Environmental/ecosystem protection activities and efforts,Residential Land Use,Environmental Management System,"0,6705","0,6452","0,6358","0,6099","0,5880"
"67. Private business activity, investment and innovation are major drivers of productivity, inclusive economic growth and job creation. We acknowledge the diversity of the private sector, ranging from micro enterprises to cooperatives to multinationals. We call upon all businesses to apply their creativity and innovation to solving sustainable development challenges. We will foster a dynamic and well functioning business sector, while protecting labour rights and environmental and health standards in accordance with relevant international standards and agreements and other ongoing initiatives in this regard, such as the Guiding Principles on Business and Human Rights and the labour standards of the International Labour Organization, the Convention on the Rights of the Child and key multilateral environmental agreements, for parties to those agreements. ",Entrepreneurship,Entrepreneurial activities in the municipality,Effect on local business and jobs,Business with environmental certification,Local job creation,"2,8983","2,8032","2,4382","2,0902","1,8258"
"68. International trade is an engine for inclusive economic growth and poverty reduction, and contributes to the promotion of sustainable development. We will continue to promote a universal, rules based, open, transparent, predictable, inclusive, non discriminatory and equitable multilateral trading system under the World Trade Organization, as well as meaningful trade liberalization. We call upon all members of the World Trade Organization to redouble their efforts to promptly conclude the negotiations on the Doha Development Agenda. We attach great importance to providing trade related capacity building for developing countries, including African countries, least developed countries, landlocked developing countries, small island developing States and middle income countries, including for the promotion of regional economic integration and interconnectivity. ",Encourage new investments,ICT-enabled innovation leading to new businesses and market opportunities,ECONOMIC EFFICIENCY.,"Strategies and infrastructure for timely data communication, sharing, and reporting","Funding for smart city projects (public/private finance, crowdsourced, etc.)","2,1939","2,1670","1,6348","1,4578","1,1301"
"69. We recognize the need to assist developing countries in attaining long term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief, debt restructuring and sound debt management, as appropriate. Many countries remain vulnerable to debt crises and some are in the midst of crises, including a number of least developed countries, small island developing States and some developed countries. We reiterate that debtors and creditors must work together to prevent and resolve unsustainable debt situations. Maintaining sustainable debt levels is the responsibility of the borrowing countries; however we acknowledge that lenders also have a responsibility to lend in a way that does not undermine a country’s debt sustainability. We will support the maintenance of debt sustainability of those countries that have received debt relief and achieved sustainable debt levels. ",Affordability,Sustainable Resource Management,Resource recovery,Reliability,Economic welfare/Social cohesion,"2,8522","1,5786","1,5665","1,1445","1,1296"
"70. We hereby launch a Technology Facilitation Mechanism which was established by the Addis Ababa Action Agenda in order to support the Sustainable Development Goals. The Technology Facilitation Mechanism will be based on a multi stakeholder collaboration between Member States, civil society, the private sector, the scientific community, United Nations entities and other stakeholders and will be composed of a United Nations inter agency task team on science, technology and innovation for the Sustainable Development Goals, a collaborative multi stakeholder forum on science, technology and innovation for the Sustainable Development Goals and an online platform. ",Education: Research and Technology,"Infrastructure, systems and strategies for data collection (sensing, mining, etc.)",Strong leadership promoting innovation and smart solutions,Scientific/educational landscapes,Research  centers,"2,6235","1,9563","1,9348","1,7232","1,7201"
" • The United Nations inter agency task team on science, technology and innovation for the Sustainable Development Goals will promote coordination, coherence and cooperation within the United Nations system on science, technology and innovation related matters, enhancing synergy and efficiency, in particular to enhance capacity building initiatives. The task team will draw on existing resources and will work with 1 epresentatives from civil society, the private sector and the scientific community to prepare the meetings of the multi stakeholder forum on science, technology and innovation for the Sustainable Development Goals, as well as in the development and operationalization of the online platform, including preparing proposals for the modalities for the forum and the online platform. The 10 representatives will be appointed by the Secretary General, for periods of two years. The task team will be open to the participation of all United Nations agencies, funds and programmes and the functional commissions of the Economic and Social Council and it will initially be composed of the entities that currently integrate the informal working group on technology facilitation, namely, the Department of Economic and Social Affairs of the Secretariat, the United Nations Environment Programme, the United Nations Industrial Development Organization, the United Nations Educational, Scientific and Cultural Organization, the United Nations Conference on Trade and Development, the International Telecommunication Union, the World Intellectual Property Organization and the World Bank. ",Strong leadership promoting innovation and smart solutions,Education: Research and Technology,"Strategies and infrastructure for timely data communication, sharing, and reporting",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,"4,3098","3,1619","2,3293","2,2458","2,2379"
" • The online platform will be used to establish a comprehensive mapping of, and serve as a gateway for, information on existing science, technology and innovation initiatives, mechanisms and programmes, within and beyond the United Nations. The online platform will facilitate access to information, knowledge and experience, as well as best practices and lessons learned, on science, technology and innovation facilitation initiatives and policies. The online platform will also facilitate the dissemination of relevant open access scientific publications generated worldwide. The online platform will be developed on the basis of an independent technical assessment which will take into account best practices and lessons learned from other initiatives, within and beyond the United Nations, in order to ensure that it will complement, facilitate access to and provide adequate information on existing science, technology and innovation platforms, avoiding duplications and enhancing synergies. ",Strong leadership promoting innovation and smart solutions,Education: Research and Technology,Qualification and skills,"Strategies and infrastructure for timely data communication, sharing, and reporting",Innovating Practice,"3,7250","2,4836","2,1848","2,1312","1,8411"
" • The multi stakeholder forum on science, technology and innovation for the Sustainable Development Goals will be convened once a year, for a period of two days, to discuss science, technology and innovation cooperation around thematic areas for the implementation of the Sustainable Development Goals, congregating all relevant stakeholders to actively contribute in their area of expertise. The forum will provide a venue for facilitating interaction, matchmaking and the establishment of networks between relevant stakeholders and multi stakeholder partnerships in order to identify and examine technology needs and gaps, including on scientific cooperation, innovation and capacity building, and also in order to help to facilitate development, transfer and dissemination of relevant technologies for the Sustainable Development Goals. The meetings of the forum will be convened by the President of the Economic and Social Council before the meeting of the high level political forum under the auspices of the Council or, alternatively, in conjunction with other forums or conferences, as appropriate, taking into account the theme to be considered and on the basis of a collaboration with the organizers of the other forums or conferences. The meetings of the forum will be co chaired by two Member States and will result in a summary of discussions elaborated by the two co Chairs, as an input to the meetings of the high level political forum, in the context of the follow up and review of the implementation of the post 2015 development agenda. ",Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Strong leadership promoting innovation and smart solutions,Consultation and Engagement,Meeting points,"6,2213","4,9266","4,3180","4,2354","3,4255"
" • The meetings of the high level political forum will be informed by the summary of the multi stakeholder forum. The themes for the subsequent multi stakeholder forum on science, technology and innovation for the Sustainable Development Goals will be considered by the high level political forum on sustainable development, taking into account expert inputs from the task team. ",Level of sensitivity of interpretive material and activities pursued,Strong leadership promoting innovation and smart solutions,Number of expert guides in interpretation,Participatory master plan,"Infrastructure, systems and strategies for data collection (sensing, mining, etc.)","1,5884","1,1520","1,0541","0,9850","0,9510"
"71. We reiterate that this Agenda and the Sustainable Development Goals and targets, including the means of implementation, are universal, indivisible and interlinked. ",Management and action plan,Events successfully implemented and evaluated,Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Reliability,"1,2196","1,2175","1,1099","1,0556","1,0222"
"72. We commit to engaging in systematic follow up and review of the implementation of this Agenda over the next 15 years. A robust, voluntary, effective, participatory, transparent and integrated follow up and review framework will make a vital contribution to implementation and will help countries to maximize and track progress in implementing this Agenda in order to ensure that no one is left behind. ","Strategies and infrastructure for timely data communication, sharing, and reporting",Events successfully implemented and evaluated,Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,Strong leadership promoting innovation and smart solutions,"1,1521","1,0585","0,6376","0,6084","0,5874"
"73. Operating at the national, regional and global levels, it will promote accountability to our citizens, support effective international cooperation in achieving this Agenda and foster exchanges of best practices and mutual learning. It will mobilize support to overcome shared challenges and identify new and emerging issues. As this is a universal Agenda, mutual trust and understanding among all nations will be important. ",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,Management and action plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Strong leadership promoting innovation and smart solutions,"2,4322","2,4269","2,2471","1,9480","1,2398"
74. Follow up and review processes at all levels will be guided by the following principles: ,Design Review,Management and action plan,Clear strategy,"Strategies and infrastructure for timely data communication, sharing, and reporting",Meeting points,"0,6904","0,6324","0,6200","0,5738","0,5415"
" (a) They will be voluntary and country led, will take into account different national realities, capacities and levels of development and will respect policy space and priorities. As national ownership is key to achieving sustainable development, the outcome from national level processes will be the foundation for reviews at the regional and global levels, given that the global review will be primarily based on national official data sources. ",Effectiveness of planning in relation to the landscape,Efficiency of the measures referred to landscape planning,Level of sensitivity of interpretive material and activities pursued,Design Review,Income level heterogeneity,"0,9380","0,8944","0,8035","0,6291","0,6193"
" (b) They will track progress in implementing the universal Goals and targets, including the means of implementation, in all countries in a manner which respects their universal, integrated and interrelated nature and the three dimensions of sustainable development. ","Strategies and infrastructure for timely data communication, sharing, and reporting",Events successfully implemented and evaluated,Management and action plan,Shared architecture for multi-level governance and inter-agency collaboration,Transparent governance/Efficient and transparent administration,"1,1323","1,1311","1,0490","1,0303","0,9185"
" (c) They will maintain a longer term orientation, identify achievements, challenges, gaps and critical success factors and support countries in making informed policy choices. ",Remains of periods,Lifelong learning,Effectiveness of planning in relation to the landscape,Long–term management,Proportion of population aged 75 years and over,"0,5975","0,5934","0,5847","0,5827","0,5555"
"They will help to mobilize the necessary means of implementation and partnerships, support the identification of solutions and best practices and promote the coordination and effectiveness of the international development system. ",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Management and action plan,Using smart solutions to enhance accessibility to services and amenities,"1,6174","1,6066","1,4959","1,3394","1,2686"
" (d) They will be open, inclusive, participatory and transparent for all people and will support reporting by all relevant stakeholders. ",Participatory master plan,Stakeholder consultation,Public participation and stakeholder engagement in decision making,Shared architecture for multi-level governance and inter-agency collaboration,"Strategies and infrastructure for timely data communication, sharing, and reporting","0,7580","0,6844","0,6691","0,6198","0,6139"
" (e) They will be people centred, gender sensitive, respect human rights and have a particular focus on the poorest, most vulnerable and those furthest behind. ",Feeling of belonging,"Individual safety and security (e.g., number of deaths attributable to disasters, etc.)",Reserves and protected areas,Non-EU foreigners as a proportion of population,Number of complaints about hygienic conditions,"0,8562","0,5964","0,5720","0,5645","0,5642"
" (f) They will build on existing platforms and processes, where these exist, avoid duplication and respond to national circumstances, capacities, needs and priorities. They will evolve over time, taking into account emerging issues and the development of new methodologies, and will minimize the reporting burden on national administrations. ",Strong leadership promoting innovation and smart solutions,Design Review,Monitor new knowledge and changes in traditional use patterns,Built,Risk reduction and control programs,"1,1685","1,1502","1,1130","1,0956","1,0361"
" (g) They will be rigorous and based on evidence, informed by country led evaluations and data which is high quality, accessible, timely, reliable and disaggregated by income, sex, age, race, ethnicity, migration status, disability and geographic location and other characteristics relevant in national contexts. ",Income level heterogeneity,Smart and appropriate location,Variation in per capita household income,View-leading elements,Affordability,"0,6877","0,6816","0,6606","0,6180","0,6061"
" (h) They will require enhanced capacity building support for developing countries, including the strengthening of national data systems and evaluation programmes, particularly in African countries, least developed countries, small island developing States, landlocked developing countries and middle income countries. ",Effect on area revitalization/development,Opportunity for higher education,Lone parent households per 100 households with children aged 0–17,Adult Health,"Strategies and infrastructure for timely data communication, sharing, and reporting","1,1658","1,1460","0,8779","0,7369","0,6407"
 (i) They will benefit from the active support of the United Nations system and other multilateral institutions. ,Economic welfare/Social cohesion,Using smart solutions to enhance accessibility to services and amenities,Therapeutic value,Intelligent and transparent procurement and bidding systems,Satisfaction living/working in heritage area,"0,5576","0,5223","0,3948","0,3925","0,3880"
75. The Goals and targets will be followed up and reviewed using a set of global indicators. ,Design Review,Management and action plan,Meeting points,Clear strategy,Existence of a Local Biodiversity Strategy and Action Plan,"0,6457","0,5958","0,5683","0,5590","0,5432"
"These will be complemented by indicators at the regional and national levels which will be developed by Member States, in addition to the outcomes of work undertaken for the development of the baselines for those targets where national and global baseline data does not yet exist. The global indicator framework, to be developed by the Inter Agency and Expert Group on Sustainable Development Goal Indicators, will be agreed by the Statistical Commission by March 2016 and adopted thereafter by the Economic and Social Council and the General Assembly, in line with existing mandates. This framework will be simple yet robust, address all Sustainable Development Goals and targets, including for means of implementation, and preserve the political balance, integration and ambition contained therein. ",Events successfully implemented and evaluated,Participatory master plan,Management and action plan,Shared architecture for multi-level governance and inter-agency collaboration,Implementation of activities in the area,"3,8620","3,6303","3,5594","2,8735","2,5956"
"76. We will support developing countries, particularly African countries, least developed countries, small island developing States and landlocked developing countries, in strengthening the capacity of national statistical offices and data systems to ensure access to high quality, timely, reliable and disaggregated data. We will promote transparent and accountable scaling up of appropriate public private cooperation to exploit the contribution to be made by a wide range of data, including earth observation and geospatial information, while ensuring national ownership in supporting and tracking progress. ",Using smart solutions to enhance accessibility to services and amenities,Events successfully implemented and evaluated,Child poverty,Children's Health,Adult Health,"1,0974","1,0899","1,0271","0,9545","0,7369"
"77. We commit to fully engage in conducting regular and inclusive reviews of progress at the subnational, national, regional and global levels. We will draw as far as possible on the existing network of follow up and review institutions and mechanisms. National reports will allow assessments of progress and identify challenges at the regional and global level. Along with regional dialogues and global reviews, they will inform recommendations for follow up at various levels. ",Meeting points,Status of implementation of quantitative evaluations for biodiversity and ecosystem services,Type of information given to visitors before and during site visits,Participatory master plan,Design Review,"1,8604","1,4678","1,4382","1,4230","1,3729"
"78. We encourage all Member States to develop as soon as practicable ambitious national responses to the overall implementation of this Agenda. These can support the transition to the Sustainable Development Goals and build on existing planning instruments, such as national development and sustainable development strategies, as appropriate. ",Management and action plan,Participatory master plan,Design Review,Shared architecture for multi-level governance and inter-agency collaboration,Planning policies and legislations,"2,0208","1,9762","1,9322","1,7586","1,3969"
"79. We also encourage Member States to conduct regular and inclusive reviews of progress at the national and subnational levels which are country led and country driven. Such reviews should draw on contributions from indigenous peoples, civil society, the private sector and other stakeholders, in line with national circumstances, policies and priorities. National parliaments as well as other institutions can also support these processes. ",Level of sensitivity of interpretive material and activities pursued,Existence of a Local Biodiversity Strategy and Action Plan,"Policies, programs, and plans for promoting entrepreneurship, creativity/innovation",Tribally designated sites,Meeting points,"0,9187","0,8813","0,8714","0,8688","0,7373"
"80. Follow up and review at the regional and subregional levels can, as appropriate, provide useful opportunities for peer learning, including through voluntary reviews, sharing of best practices and discussion on shared targets. We welcome in this respect the cooperation of regional and subregional commissions and organizations. Inclusive regional processes will draw on national level reviews and contribute to follow up and review at the global level, including at the high level political forum on sustainable development. ",Participatory master plan,Shared architecture for multi-level governance and inter-agency collaboration,Plans and strategies for mainstreaming smart city planning,Management and action plan,"Strategies and infrastructure for timely data communication, sharing, and reporting","1,8872","1,8315","1,2219","1,2066","1,1719"
"81. Recognizing the importance of building on existing follow up and review mechanisms at the regional level and allowing adequate policy space, we encourage all Member States to identify the most suitable regional forum in which to engage. United Nations regional commissions are encouraged to continue supporting Member States in this regard. ","Strategies and infrastructure for timely data communication, sharing, and reporting",Creative hubs and meeting points,Efficiency of planning in relation to the landscape,Plans and strategies for mainstreaming smart city planning,Design Review,"1,0213","1,0104","0,5941","0,5861","0,5787"
"82. The high level political forum will have a central role in overseeing a network of follow up and review processes at the global level, working coherently with the General Assembly, the Economic and Social Council and other relevant organs and forums, in accordance with existing mandates. It will facilitate sharing of experiences, including successes, challenges and lessons learned, and provide political leadership, guidance and recommendations for follow up. It will promote system wide coherence and coordination of sustainable development policies. It should ensure that the Agenda remains relevant and ambitious and should focus on the assessment of progress, achievements and challenges faced by developed and developing countries as well as new and emerging issues. Effective linkages will be made with the follow up and review arrangements of all relevant United Nations conferences and processes, including on least developed countries, small island developing States and landlocked developing countries. ","Strategies and infrastructure for timely data communication, sharing, and reporting",Shared architecture for multi-level governance and inter-agency collaboration,Participatory master plan,Management and action plan,Events successfully implemented and evaluated,"4,6174","4,5189","4,2930","4,1590","3,2431"
"83. Follow up and review at the high level political forum will be informed by an annual progress report on the Sustainable Development Goals to be prepared by the Secretary General in cooperation with the United Nations system, based on the global indicator framework and data produced by national statistical systems and information collected at the regional level. The high level political forum will also be informed by the Global Sustainable Development Report, which shall strengthen the science policy interface and could provide a strong evidence based instrument to support policymakers in promoting poverty eradication and sustainable development. We invite the President of the Economic and Social Council to conduct a process of consultations on the scope, methodology and frequency of the global report as well as its relation to the progress report, the outcome of which should be reflected in the ministerial declaration of the session of the high level political forum in 2016. ",Participatory master plan,Management and action plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Existence of a Local Biodiversity Strategy and Action Plan,Shared architecture for multi-level governance and inter-agency collaboration,"2,9024","2,3921","2,0761","1,9542","1,6077"
"84. The high level political forum, under the auspices of the Economic and Social Council, shall carry out regular reviews, in line with General Assembly resolution 67 290 of 9 July 2013. ",Income gap between the richest and poorest,Trip length frequency,Process transparency,Design Review,Clear strategy,"0,6583","0,6199","0,6121","0,5885","0,5834"
"Reviews will be voluntary, while encouraging reporting, and include developed and developing countries as well as relevant United Nations entities and other stakeholders, including civil society and the private sector. They shall be State led, involving ministerial and other relevant high level participants. They shall provide a platform for partnerships, including through the participation of major groups and other relevant stakeholders. ",Presence of major international and domestic enterprises and entities,Participatory master plan,Places of events,Leisure,Stakeholder consultation,"1,9576","1,0205","1,0129","0,9908","0,9367"
"85. Thematic reviews of progress on the Sustainable Development Goals, including cross cutting issues, will also take place at the high level political forum. These will be supported by reviews by the functional commissions of the Economic and Social Council and other intergovernmental bodies and forums which should reflect the integrated nature of the Goals as well as the interlinkages between them. They will engage all relevant stakeholders and, where possible, feed into, and be aligned with, the cycle of the high level political forum. ",Participatory master plan,Participation in public life/political awareness,Meeting points,Participation and Partnership,Consultation and Engagement,"1,7947","1,5505","1,5307","1,2125","1,1654"
"86. We welcome, as outlined in the Addis Ababa Action Agenda, the dedicated follow up and review for the financing for development outcomes as well as all the means of implementation of the Sustainable Development Goals which is integrated with the follow up and review framework of this Agenda. The intergovernmentally agreed conclusions and recommendations of the annual Economic and Social Council forum on financing for development will be fed into the overall follow up and review of the implementation of this Agenda in the high level political forum. ",Integrated fare/payment system for inter-service fare digital fare collection capability,Financial Administration,Wealth Index,Investment policies,Availability of cultural site maintenance fund and resource,"1,1687","1,1681","1,0873","0,6606","0,6454"
"87. Meeting every four years under the auspices of the General Assembly, the high level political forum will provide high level political guidance on the Agenda and its implementation, identify progress and emerging challenges and mobilize further actions to accelerate implementation. The next high level political forum under the auspices of the General Assembly will be held in 2019, with the cycle of meetings thus reset, in order to maximize coherence with the quadrennial comprehensive policy review process. ",Meeting points,Design Review,Plans and strategies for mainstreaming smart city planning,"Strategies and infrastructure for timely data communication, sharing, and reporting",Participatory master plan,"1,9009","1,8585","1,8361","1,8228","1,7320"
